Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,2,0,13.075209004455246,16.16677100173547,13.075209004455246,19.258332999015693,244.5,0.07562207131077177,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,GET /api/food/logs?date=[past],1,0,12.531458000012208,12.531458000012208,12.531458000012208,12.531458000012208,2.0,0.037811035655385884,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,GET /api/food/logs?date=[today],4,0,6,9.674145998360473,4.674583993619308,15.824958005396184,58.25,0.15124414262154354,0.0,12,12,16,16,16,16,16,16,16,16,16
GET,GET /api/onboarding/profile,3,0,13,12.497430997124562,5.759333995229099,19.176041998434812,650.0,0.11343310696615765,0.0,13,13,19,19,19,19,19,19,19,19,19
GET,GET /foods/,1,0,9.952624997822568,9.952624997822568,9.952624997822568,9.952624997822568,5165.0,0.037811035655385884,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /meals/summary,1,0,26.737916996353306,26.737916996353306,26.737916996353306,26.737916996353306,252.0,0.037811035655385884,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,POST /api/food/manual,1,0,19.430291999015026,19.430291999015026,19.430291999015026,19.430291999015026,206.0,0.037811035655385884,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,POST /api/food/water,2,0,14,33.59741649910575,13.75420799740823,53.440625000803266,18.0,0.07562207131077177,0.0,53,53,53,53,53,53,53,53,53,53,53
POST,POST /auth/login,10,3,33,32.97882499973639,24.967666999145877,39.473124998039566,304.3,0.37811035655385883,0.11343310696615765,34,35,36,36,39,39,39,39,39,39,39
,Aggregated,25,3,19,22.9663117590826,4.674583993619308,53.440625000803266,455.04,0.9452758913846471,0.11343310696615765,19,32,33,35,36,39,53,53,53,53,53
