Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,476,0,12,50.93947398528457,2.69987499632407,407.7465000009397,249.97268907563026,8.03718735239787,0.0,12,17,23,100,200,250,270,350,410,410,410
GET,GET /api/food/logs?date=[past],65,0,9,40.384194815459736,3.7639590009348467,268.2073340038187,202.92307692307693,1.0975150796341628,0.0,9,13,19,51,150,190,270,270,270,270,270
GET,GET /api/food/logs?date=[today],318,0,11,36.64341048098099,3.263375001552049,286.6750840039458,997.3805031446541,5.369381466517905,0.0,11,13,17,20,160,210,250,270,290,290,290
GET,GET /api/food/search,98,0,10,24.199203622369428,3.7693330014008097,233.36250000284053,32.87755102040816,1.6547150431407378,0.0,10,14,16,18,31,160,220,230,230,230,230
GET,GET /api/onboarding/profile,125,0,9,38.017673615715466,2.9609159973915666,289.6681249985704,654.144,2.11060592237339,0.0,9,12,17,64,150,190,230,250,290,290,290
GET,GET /api/subscriptions/current,63,0,13,55.89388293643308,3.150499993353151,277.77879100176506,108.14285714285714,1.0637453848761886,0.0,13,19,140,150,170,170,220,280,280,280,280
GET,GET /auth/me,105,0,9,58.07973380045345,2.6662909949664026,261.2173329980578,222.28571428571428,1.7729089747936477,0.0,9,24,130,140,180,230,240,250,260,260,260
GET,GET /foods/,40,0,13,36.4687490508004,6.235125001694541,207.2954999966896,4550.675,0.6753938951594849,0.0,13,15,25,69,130,210,210,210,210,210,210
GET,GET /meals/summary,58,23,13,64.278168068995,3.5417079998296686,478.14483299589483,159.91379310344828,0.979321147981253,0.3883514897167038,14,22,66,110,220,310,420,480,480,480,480
GET,GET /nutrition-profile/,61,61,10,27.98978557400348,3.272375004598871,235.13308399560628,59.0,1.0299756901182144,1.0299756901182144,10,12,14,14,85,160,220,240,240,240,240
POST,POST /api/food/manual,269,0,13,25.08420957955419,4.590333002852276,360.98233399388846,210.1635687732342,4.542023944947536,0.0,13,16,19,21,38,76,240,280,360,360,360
POST,POST /api/food/water,85,71,14,24.881857376535397,5.03374999971129,202.63416699890513,20.50588235294118,1.4352120272139053,1.1988241639080857,14,15,18,26,48,110,170,200,200,200,200
POST,POST /api/onboarding/save-step,43,0,15,85.32130513912159,7.396416003757622,354.1833749986836,652.1860465116279,0.7260484372964462,0.0,15,23,220,240,250,300,350,350,350,350,350
POST,POST /auth/login,500,101,440.0,435.41579585603904,130.0896249958896,718.124250000983,341.574,8.44242368949356,1.7053695852776993,440,550,600,620,690,700,710,710,720,720,720
POST,POST /auth/register,13,0,120.0,140.79917607775243,21.61358300509164,293.79562500253087,228.53846153846155,0.21950301592683258,0.0,120,240,280,290,290,290,290,290,290,290,290
,Aggregated,2319,256,15,126.87889558685549,2.6662909949664026,718.124250000983,439.6149202242346,39.15596107187113,4.322520929020703,15,97,190,240,460,610,690,700,710,720,720
