Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,158,0,15,82.27487183536095,3.465207999397535,490.695708002022,254.9620253164557,2.647241980642786,0.0,16,33,140,200,270,350,460,480,490,490,490
GET,GET /api/food/logs?date=[past],20,0,19,64.1167083507753,7.452459001797251,278.1983750028303,128.05,0.3350939216003527,0.0,20,32,59,220,250,280,280,280,280,280,280
GET,GET /api/food/logs?date=[today],88,0,18,79.2839479204717,4.3920829994021915,472.13641599955736,1664.284090909091,1.4744132550415516,0.0,18,43,180,200,240,260,470,470,470,470,470
GET,GET /api/food/search,15,0,14,60.172636268058945,9.317333999206312,336.07820799807087,80.46666666666667,0.2513204412002645,0.0,14,18,77,130,210,340,340,340,340,340,340
GET,GET /api/onboarding/profile,39,0,13,34.800355717426356,2.749083003436681,247.43366600159789,656.3846153846154,0.6534331471206877,0.0,13,17,21,22,110,220,250,250,250,250,250
GET,GET /api/subscriptions/current,18,0,24,97.69143055584411,10.103708002134226,252.8730420017382,125.11111111111111,0.3015845294403174,0.0,25,130,200,230,250,250,250,250,250,250,250
GET,GET /auth/me,34,0,10,47.49728079396471,3.8462090014945716,231.76429200248094,222.6764705882353,0.5696596667205995,0.0,11,18,69,110,170,200,230,230,230,230,230
GET,GET /foods/,20,0,15,73.28927700109489,7.021083001745865,467.14012500160607,3596.55,0.3350939216003527,0.0,17,19,20,210,280,470,470,470,470,470,470
GET,GET /meals/summary,13,8,20,51.78136869262044,6.217750000359956,278.0806670052698,109.6923076923077,0.21781104904022922,0.13403756864014105,20,25,28,38,180,280,280,280,280,280,280
GET,GET /nutrition-profile/,12,12,13,51.060683998609115,8.294667000882328,243.41095799900359,59.0,0.2010563529602116,0.2010563529602116,13,15,24,24,230,240,240,240,240,240,240
POST,POST /api/food/manual,41,0,18,71.28785570683071,12.435958000423852,744.6126249997178,209.9268292682927,0.6869425392807229,0.0,18,21,27,34,270,330,740,740,740,740,740
POST,POST /api/food/water,19,18,17,39.69735521087913,10.646999995515216,274.58241600106703,20.842105263157894,0.318339225520335,0.3015845294403174,17,25,28,30,170,270,270,270,270,270,270
POST,POST /api/onboarding/save-step,19,0,22,70.82698026275274,11.044666003726888,478.4011250012554,649.6842105263158,0.318339225520335,0.0,22,36,42,76,280,480,480,480,480,480,480
POST,POST /auth/login,10000,9878,2600.0,2331.4702130210067,43.5418750057579,6562.94220899872,52.433,167.54696080017632,165.50288787841419,2600,2900,3100,3200,3800,4500,4600,4700,6600,6600,6600
POST,POST /auth/register,168,97,30,87.53815575038884,2.8241660038474947,637.5103329992271,123.51785714285714,2.8147889414429623,1.6252055197617103,30,50,110,190,280,400,510,630,640,640,640
,Aggregated,10664,10013,2500.0,2190.9297528528805,2.749083003436681,6562.94220899872,81.24756189047262,178.67207899730803,167.76477184921654,2500,2900,3100,3200,3700,3900,4600,4700,6600,6600,6600
