Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,76,0,14,17.99053842124091,3.3799590019043535,116.07291700056521,250.75,1.286144341235459,0.0,14,17,19,21,31,38,98,120,120,120,120
GET,GET /api/food/logs?date=[past],28,0,9,17.644066963839578,5.4212499962886795,145.93604199762922,389.17857142857144,0.47384265203411646,0.0,9,10,11,13,22,96,150,150,150,150,150
GET,GET /api/food/logs?date=[today],39,0,13,17.545364358878803,5.612750006548595,101.51137499633478,1788.3846153846155,0.6599951224760908,0.0,13,16,17,21,32,38,100,100,100,100,100
GET,GET /api/food/search,7,0,15,24.940006143879145,6.60266700288048,96.63820900459541,124.28571428571429,0.11846066300852912,0.0,15,16,19,19,97,97,97,97,97,97,97
GET,GET /api/onboarding/profile,30,0,10,10.721798599358104,4.249375000654254,27.03862499765819,649.8666666666667,0.507688555750839,0.0,11,11,12,13,20,22,27,27,27,27,27
GET,GET /api/subscriptions/current,11,0,16,14.698310725427952,6.1624169975402765,30.89199999521952,70.18181818181819,0.18615247044197433,0.0,16,16,16,16,16,31,31,31,31,31,31
GET,GET /auth/me,13,0,10,11.062637846267675,3.9860839970060624,33.07262500311481,222.30769230769232,0.2199983741586969,0.0,10,11,12,12,16,33,33,33,33,33,33
GET,GET /foods/,15,0,12,13.385947067096518,8.333916004630737,26.338292002037633,2083.2,0.2538442778754195,0.0,12,13,16,17,19,26,26,26,26,26,26
GET,GET /meals/summary,15,11,15,31.975741731973056,7.082582997099962,217.99312499933876,82.46666666666667,0.2538442778754195,0.18615247044197433,15,18,29,45,46,220,220,220,220,220,220
GET,GET /nutrition-profile/,12,12,11,11.682482750378162,6.040457999915816,20.402499998454005,59.0,0.20307542230033562,0.20307542230033562,11,12,14,14,14,20,20,20,20,20,20
POST,POST /api/food/manual,16,0,18,23.772572874349862,8.109374997729901,107.05937499733409,210.3125,0.2707672297337808,0.0,19,20,21,21,33,110,110,110,110,110,110
POST,POST /api/food/water,2,2,16.848125000251457,16.805250001198146,16.762375002144836,16.848125000251457,21.0,0.0338459037167226,0.0338459037167226,17,17,17,17,17,17,17,17,17,17,17
POST,POST /auth/login,2000,1940,160.0,172.74528074394766,38.4120000016992,371.6043339954922,59.012,33.8459037167226,32.830526605220925,160,180,190,200,230,320,340,340,370,370,370
POST,POST /auth/register,36,3,36,56.32940166651679,6.641042004048359,180.19025000103284,212.97222222222223,0.6092262669010069,0.050768855575083906,36,45,53,79,170,180,180,180,180,180,180
,Aggregated,2300,1968,160.0,153.0870958499303,3.3799590019043535,371.6043339954922,124.35652173913043,38.92278927423099,33.30436925725504,160,170,180,190,230,300,330,340,370,370,370
