Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,32,0,24,24.23837375090443,5.461000000650529,55.62991699844133,249.4375,1.100648145287096,0.0,25,30,34,35,37,40,56,56,56,56,56
GET,GET /api/food/logs?date=[past],2,0,8.426749998761807,26.462728998012608,8.426749998761807,44.49870799726341,2.0,0.0687905090804435,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,GET /api/food/logs?date=[today],15,0,13,21.601588799482368,3.550540997821372,157.45729199989,1808.0,0.5159288181033262,0.0,13,17,18,18,21,160,160,160,160,160,160
GET,GET /api/food/search,6,0,13,14.100395999169754,3.60345900116954,30.608458000642713,2.0,0.2063715272413305,0.0,14,14,15,15,31,31,31,31,31,31,31
GET,GET /api/onboarding/profile,8,0,7,10.687874875657144,3.398500004550442,30.238708000979386,646.5,0.275162036321774,0.0,10,10,15,15,30,30,30,30,30,30,30
GET,GET /api/subscriptions/current,3,0,25,21.47076400190902,8.780667005339637,30.449375000898726,86.0,0.10318576362066526,0.0,25,25,30,30,30,30,30,30,30,30,30
GET,GET /auth/me,7,0,10,10.528684572948675,4.645458000595681,17.63458400091622,222.57142857142858,0.24076678178155228,0.0,10,12,12,12,18,18,18,18,18,18,18
GET,GET /foods/,5,0,16,15.320500002417248,8.777250004641246,19.814332998066675,5165.0,0.17197627270110877,0.0,16,18,18,20,20,20,20,20,20,20,20
GET,GET /meals/summary,2,0,9.299625002313405,19.557354502467206,9.299625002313405,29.815084002621006,251.0,0.0687905090804435,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,GET /nutrition-profile/,2,2,13.235874997917563,14.254937497753417,13.235874997917563,15.273999997589272,59.0,0.0687905090804435,0.0687905090804435,15,15,15,15,15,15,15,15,15,15,15
POST,POST /api/food/manual,19,0,16,18.711980210929667,8.150583002134226,53.06616699817823,210.6315789473684,0.6535098362642133,0.0,16,20,24,25,33,53,53,53,53,53,53
POST,POST /api/food/water,6,5,12,17.277986167755444,9.026917003211565,30.286749999504536,20.5,0.2063715272413305,0.17197627270110877,17,17,25,25,30,30,30,30,30,30,30
POST,POST /api/onboarding/save-step,3,0,20,23.78273633075878,17.129959000158124,34.59754099458223,671.0,0.10318576362066526,0.0,20,20,35,35,35,35,35,35,35,35,35
POST,POST /auth/login,50,7,28,41.6847049597709,7.640957999683451,102.2938329988392,365.1,1.7197627270110876,0.24076678178155228,29,42,52,75,100,100,100,100,100,100,100
POST,POST /auth/register,2,0,15,15.139916500629624,14.511083005345426,15.768749995913822,228.0,0.0687905090804435,0.0,16,16,16,16,16,16,16,16,16,16,16
,Aggregated,162,14,18,26.235071753349693,3.398500004550442,157.45729199989,576.5432098765432,5.572031235515924,0.48153356356310456,20,26,30,34,47,94,100,100,160,160,160
