Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,76,0,15,21.967860737085605,3.876290997141041,90.20887500082608,251.19736842105263,1.2883340828509362,0.0,16,22,25,27,55,67,69,90,90,90,90
GET,GET /api/food/logs?date=[past],12,0,15,25.35242691737949,6.948625006771181,69.44925000425428,21.083333333333332,0.20342117097646362,0.0,24,29,38,38,49,69,69,69,69,69,69
GET,GET /api/food/logs?date=[today],44,0,13,17.41307384112257,6.989249995967839,65.88541699602501,1537.0227272727273,0.7458776269136999,0.0,14,17,25,26,28,31,66,66,66,66,66
GET,GET /api/food/search,5,0,14,18.453758201212622,12.04025000333786,38.61325000616489,21.2,0.08475882124019317,0.0,14,15,15,39,39,39,39,39,39,39,39
GET,GET /api/onboarding/profile,19,0,22,25.548767527078255,6.838207998953294,65.37000000389526,658.8421052631579,0.32208352071273405,0.0,22,30,31,34,62,65,65,65,65,65,65
GET,GET /api/subscriptions/current,7,0,18,25.155738142659953,6.001791996823158,69.206000000122,107.57142857142857,0.11866234973627043,0.0,18,26,38,38,69,69,69,69,69,69,69
GET,GET /auth/me,12,0,11,24.54299999893313,4.363041996839456,79.57583300594706,222.0,0.20342117097646362,0.0,11,12,57,57,75,80,80,80,80,80,80
GET,GET /foods/,6,0,11,14.148444332628666,6.531499995617196,26.911875000223517,1459.0,0.10171058548823181,0.0,15,15,17,17,27,27,27,27,27,27,27
GET,GET /meals/summary,12,7,19,24.153541500709252,10.788958003104199,73.06399999652058,117.25,0.20342117097646362,0.11866234973627043,19,20,23,23,44,73,73,73,73,73,73
GET,GET /nutrition-profile/,4,4,10,27.16514575149631,7.4138749987469055,74.67833300324855,59.0,0.06780705699215454,0.06780705699215454,16,16,75,75,75,75,75,75,75,75,75
POST,POST /api/food/manual,10,0,20,21.95429149942356,15.975916001480073,43.03766700468259,208.8,0.16951764248038634,0.0,20,21,21,22,43,43,43,43,43,43,43
POST,POST /api/food/water,1,1,19.929542002500966,19.929542002500966,19.929542002500966,19.929542002500966,21.0,0.016951764248038636,0.016951764248038636,20,20,20,20,20,20,20,20,20,20,20
POST,POST /api/onboarding/save-step,13,0,17,24.214445384971512,12.705916997219902,84.74187499814434,657.6153846153846,0.22037293522450224,0.0,17,21,21,23,39,85,85,85,85,85,85
POST,POST /auth/login,1000,939,58,74.78263866499037,21.875500002352055,238.1343340020976,70.405,16.951764248038636,15.917706628908277,58,63,64,80,140,200,220,220,240,240,240
POST,POST /auth/register,21,3,31,42.72348419146424,4.623749999154825,164.2063750041416,202.33333333333334,0.3559870492088113,0.050855292744115904,31,33,37,38,120,140,160,160,160,160,160
,Aggregated,1242,954,56,64.81944376494813,3.876290997141041,238.1343340020976,160.0024154589372,21.054091196063982,16.171983092628857,56,61,63,65,130,180,210,220,240,240,240
